Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Dir of Max Gust (10s deg),Spd of Max Gust (km/h),Longitude (x),Latitude (y),Station Name,Climate ID,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),DateNum,FlowRate_05BA002,FlowRate_05BA001,FlowRate_05BB001,FlowRate_05BC001,FlowRate_05BD004,FlowRate_05BC008,FlowRate_05BE007,FlowRate_05BE004,FlowRate_05BF025,FlowRate_05BH013,FlowRate_05BG010,FlowRate_05BG006,FlowRate_05BE999,FlowRate_05BH015,FlowRate_05BH005,FlowRate_05BH008,FlowRate_05BH004
-115.55,51.19,BANFF CS,3050519,2010-01-01,-3.2,-18.9,-11.1,29.1,0,,,0,15,24,33,-115.03,51.03,KANANASKIS,3053600,6.5,-24,-8.8,26.8,0,0,,0,,734139,0.87,NaN,9.15,1.48,6.52,0.354,15.1,44.4,8.13,NaN,2.13,0.522,53.1,0.215,NaN,49.6,51.3
-115.55,51.19,BANFF CS,3050519,2010-01-02,1.1,-4.5,-1.7,19.7,0,,,0,15,,<31,-115.03,51.03,KANANASKIS,3053600,6.5,-1.5,2.5,15.5,0,0,,0,,734140,0.898,NaN,9.6,1.49,7.74,0.358,14.9,43.5,8.1,NaN,2.07,0.515,58.8,0.21,NaN,49.5,51.3
-115.55,51.19,BANFF CS,3050519,2010-01-03,0.6,-7.5,-3.5,21.5,0,,,0.3,15,,<31,-115.03,51.03,KANANASKIS,3053600,,,,,,,,,,734141,0.877,NaN,9.85,1.51,6.97,0.358,15.8,44.2,8.08,NaN,2.06,0.507,59,0.2,NaN,49.5,51.3
-115.55,51.19,BANFF CS,3050519,2010-01-04,-4.8,-11,-7.9,25.9,0,,,0.6,15,,<31,-115.03,51.03,KANANASKIS,3053600,-8,-10,-9,27,0,0,8,8,15,734142,0.877,NaN,9.4,1.48,14,0.357,17.4,52.8,17,NaN,2.03,0.505,60.1,0.193,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-01-05,-9.7,-18.8,-14.3,32.3,0,,,0.2,15,,<31,-115.03,51.03,KANANASKIS,3053600,-11,-13,-12,30,0,0,2.6,2.6,22,734143,0.828,NaN,9.04,1.46,13.6,0.357,15.9,57.5,17.1,NaN,2.02,0.507,63.7,0.184,NaN,51,52.8
-115.55,51.19,BANFF CS,3050519,2010-01-06,-14.5,-30.6,-22.6,40.6,0,,,1.7,17,,<31,-115.03,51.03,KANANASKIS,3053600,-15.5,-27,-21.3,39.3,0,0,0,0,21,734144,0.693,NaN,8.3,1.3,15.8,0.408,17.2,54.3,17,NaN,1.97,0.51,63.6,0.181,NaN,52.4,54.2
-115.55,51.19,BANFF CS,3050519,2010-01-07,-10.8,-22,-16.4,34.4,0,,,0,16,25,43,-115.03,51.03,KANANASKIS,3053600,-4.5,-22.5,-13.5,31.5,0,0,0,0,21,734145,0.757,NaN,8,1.47,12.5,0.4,16.7,55,15.7,NaN,2,0.515,65.1,0.185,NaN,53.8,55.6
-115.55,51.19,BANFF CS,3050519,2010-01-08,-6.2,-14.9,-10.6,28.6,0,,,0,13,22,46,-115.03,51.03,KANANASKIS,3053600,-0.5,-12,-6.3,24.3,0,0,0,0,20,734146,0.826,NaN,8.3,1.5,11.4,0.368,16.2,52,15.7,NaN,2.03,0.518,63.9,0.191,NaN,54.5,56.3
-115.55,51.19,BANFF CS,3050519,2010-01-09,-2.6,-11.4,-7,25,0,,,0,12,25,43,-115.03,51.03,KANANASKIS,3053600,7.5,-8,-0.3,18.3,0,0,0,0,20,734147,0.845,NaN,8.63,1.53,7.24,0.366,11.2,47.5,6.71,NaN,2,0.521,61.2,0.197,NaN,54.5,56.3
-115.55,51.19,BANFF CS,3050519,2010-01-10,0.7,-5,-2.2,20.2,0,,,0,12,25,39,-115.03,51.03,KANANASKIS,3053600,9.5,-1,4.3,13.7,0,0,0,0,18,734148,0.847,NaN,8.85,1.55,7.12,0.374,10.5,43.8,6.76,NaN,2,0.525,61.2,0.2,NaN,54.4,56.2
-115.55,51.19,BANFF CS,3050519,2010-01-11,6.9,-1.4,2.8,15.2,0,,,0,12,23,46,-115.03,51.03,KANANASKIS,3053600,12,3.5,7.8,10.2,0,0,0,0,15,734149,0.848,NaN,8.78,1.54,13.5,0.374,15.3,55.9,14.4,NaN,2.01,0.532,64.3,0.204,NaN,55.3,57.1
-115.55,51.19,BANFF CS,3050519,2010-01-12,8.3,1.6,5,13,0,,,0,11,26,39,-115.03,51.03,KANANASKIS,3053600,10.5,7.5,9,9,0,0,0,0,10,734150,0.847,NaN,8.57,1.48,13.9,0.378,15.5,61,14.7,NaN,2.03,0.538,66.1,0.206,NaN,56.5,58.3
-115.55,51.19,BANFF CS,3050519,2010-01-13,5.1,-1.1,2,16,0,,,0,11,,<31,-115.03,51.03,KANANASKIS,3053600,8,-2,3,15,0,0,0,0,0,734151,0.844,NaN,8.23,1.41,12.9,0.371,13.7,58.8,15.4,NaN,2.02,0.562,63.1,0.21,NaN,57.9,59.7
-115.55,51.19,BANFF CS,3050519,2010-01-14,5.1,-1.7,1.7,16.3,0,,,0,10,24,43,-115.03,51.03,KANANASKIS,3053600,7.5,-3,2.3,15.7,0,0,0,0,0,734152,0.832,NaN,7.89,1.37,11.3,0.37,13.9,54.5,10.3,NaN,2.03,0.573,66.2,0.217,NaN,59.6,61.4
-115.55,51.19,BANFF CS,3050519,2010-01-15,3.7,0.3,2,16,0,0,,2.4,10,26,37,-115.03,51.03,KANANASKIS,3053600,6,1.5,3.8,14.2,0,0,1.4,1.4,0,734153,0.815,NaN,7.72,1.29,12.7,0.381,13.7,54.9,15.3,NaN,2,0.573,66.8,0.22,NaN,59.4,61.2
-115.55,51.19,BANFF CS,3050519,2010-01-16,2,-8.3,-3.2,21.2,0,0,,0.7,9,27,32,-115.03,51.03,KANANASKIS,3053600,4.5,-0.5,2,16,0,0,0,0,0,734154,0.78,NaN,7.65,1.29,6.42,0.374,11.6,45.2,5.44,NaN,2.01,0.587,64.3,0.223,NaN,59.5,61.3
-115.55,51.19,BANFF CS,3050519,2010-01-17,-2.4,-11.7,-7.1,25.1,0,,,0,10,27,33,-115.03,51.03,KANANASKIS,3053600,6.5,-8,-0.8,18.8,0,0,0,0,0,734155,0.713,NaN,7.25,1.46,7.11,0.374,10.8,38.2,5.44,NaN,1.98,0.577,64.1,0.224,NaN,56.7,58.4
-115.55,51.19,BANFF CS,3050519,2010-01-18,5.2,-5.1,0.1,17.9,0,,,0,11,22,37,-115.03,51.03,KANANASKIS,3053600,7.5,-3,2.3,15.7,0,0,0,0,0,734156,0.806,NaN,7.56,1.49,14,0.376,12.2,52.7,15.2,NaN,1.97,0.587,66.3,0.223,NaN,59.4,61.2
-115.55,51.19,BANFF CS,3050519,2010-01-19,-0.9,-8.3,-4.6,22.6,0,,,0,11,,<31,-115.03,51.03,KANANASKIS,3053600,2,-8,-3,21,0,0,0,0,0,734157,0.841,NaN,7.56,1.47,13.8,0.373,13.2,54.9,15,NaN,1.96,0.575,63.3,0.219,NaN,59.5,61.3
-115.55,51.19,BANFF CS,3050519,2010-01-20,3,-7.8,-2.4,20.4,0,,,0,11,,<31,-115.03,51.03,KANANASKIS,3053600,3.5,-5,-0.8,18.8,0,0,0,0,0,734158,0.829,NaN,7.58,1.43,13.9,0.368,13,56.4,15.3,NaN,1.93,0.559,63.2,0.214,NaN,57.9,59.6
-115.55,51.19,BANFF CS,3050519,2010-01-21,-2.2,-16.1,-9.2,27.2,0,,,0,11,,<31,-115.03,51.03,KANANASKIS,3053600,-0.5,-13,-6.8,24.8,0,0,0,0,0,734159,0.785,NaN,7.25,1.4,12.6,0.367,13,53.6,15.3,NaN,1.95,0.521,62.6,0.207,NaN,56.7,58.4
-115.55,51.19,BANFF CS,3050519,2010-01-22,-5.1,-19,-12.1,30.1,0,,,0.3,10,,<31,-115.03,51.03,KANANASKIS,3053600,-6,-13,-9.5,27.5,0,0,3.4,3.4,0,734160,0.769,NaN,7.06,1.41,14,0.365,12.9,57.8,15.3,NaN,1.93,0.502,62.1,0.2,NaN,54.5,56.3
-115.55,51.19,BANFF CS,3050519,2010-01-23,-3.9,-10.4,-7.2,25.2,0,0,,0.9,10,,<31,-115.03,51.03,KANANASKIS,3053600,-5.5,-10,-7.8,25.8,0,0,4,4,3,734161,0.776,NaN,7.22,1.44,6.79,0.366,11.6,41.5,5.55,NaN,1.88,0.489,57.2,0.191,NaN,51.2,53
-115.55,51.19,BANFF CS,3050519,2010-01-24,-5.4,-13.1,-9.3,27.3,0,,,0.4,11,,<31,-115.03,51.03,KANANASKIS,3053600,-6,-10,-8,26,0,0,1.6,1.6,7,734162,0.796,NaN,7.52,1.49,6.69,0.367,11.8,38.8,5.51,NaN,1.87,0.483,54.6,0.18,NaN,51,52.8
-115.55,51.19,BANFF CS,3050519,2010-01-25,-5.8,-13.7,-9.8,27.8,0,,,1,11,,<31,-115.03,51.03,KANANASKIS,3053600,-10,-13.5,-11.8,29.8,0,0,0.4,0.4,5,734163,0.791,NaN,7.54,1.42,14,0.364,12.8,52.1,16.4,NaN,1.89,0.471,66.1,0.172,NaN,51.7,53.5
-115.55,51.19,BANFF CS,3050519,2010-01-26,-5,-19.6,-12.3,30.3,0,0,,1.2,10,,<31,-115.03,51.03,KANANASKIS,3053600,-6,-16.5,-11.3,29.3,0,0,0,0,4,734164,0.775,NaN,7.54,1.32,13.7,0.364,12,55.2,16.3,NaN,1.95,0.464,64.7,0.161,NaN,53.8,55.6
-115.55,51.19,BANFF CS,3050519,2010-01-27,-2.9,-24.3,-13.6,31.6,0,0,,0.9,12,,<31,-115.03,51.03,KANANASKIS,3053600,-4,-20,-12,30,0,0,0,0,4,734165,0.733,NaN,6.87,1.4,13.7,0.368,11.8,55,17.7,NaN,2,0.451,62.5,0.17,NaN,53.8,55.5
-115.55,51.19,BANFF CS,3050519,2010-01-28,-2,-11.5,-6.8,24.8,0,,,0,12,24,39,-115.03,51.03,KANANASKIS,3053600,2.5,-12,-4.8,22.8,0,0,0,0,4,734166,0.739,NaN,7.02,1.49,13.6,0.362,12.5,55.3,16.4,NaN,2,0.445,62.4,0.183,NaN,54.4,56.2
-115.55,51.19,BANFF CS,3050519,2010-01-29,1.1,-5.9,-2.4,20.4,0,,,0,12,,<31,-115.03,51.03,KANANASKIS,3053600,5,-5,0,18,0,0,0,0,3,734167,0.775,NaN,7.73,1.5,14.1,0.367,12.3,53.9,13.4,NaN,1.95,0.442,61.4,0.196,NaN,53.9,55.7
-115.55,51.19,BANFF CS,3050519,2010-01-30,-2.5,-8.7,-5.6,23.6,0,0,,1.5,12,,<31,-115.03,51.03,KANANASKIS,3053600,-6,-6.5,-6.3,24.3,0,0,3,3,2,734168,0.769,NaN,7.79,1.4,6.47,0.362,11.7,49.4,10.3,NaN,1.93,0.426,56.5,0.2,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-01-31,-2.8,-11,-6.9,24.9,0,,,0.9,13,,<31,-115.03,51.03,KANANASKIS,3053600,-7,-13,-10,28,0,0,0.4,0.4,5,734169,0.783,NaN,7.78,1.39,6.58,0.37,10.7,39.8,5.34,NaN,1.91,0.432,57,0.195,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-02-01,1.6,-9.6,-4,22,0,,,0,13,,<31,-115.03,51.03,KANANASKIS,3053600,4,-9.5,-2.8,20.8,0,0,0,0,5,734170,0.781,NaN,7.72,1.38,9.73,0.371,12.6,50,12.8,NaN,1.91,0.433,61.6,0.187,NaN,53.7,55.5
-115.55,51.19,BANFF CS,3050519,2010-02-02,2.1,-9.2,-3.6,21.6,0,,,0,13,,<31,-115.03,51.03,KANANASKIS,3053600,4,-10.5,-3.3,21.3,0,0,0,0,5,734171,0.779,NaN,7.74,1.35,10.2,0.365,12.5,49.8,12.9,NaN,1.9,0.437,62.6,0.185,NaN,53.8,55.6
-115.55,51.19,BANFF CS,3050519,2010-02-03,2.8,-8.1,-2.7,20.7,0,,,0,13,,<31,-115.03,51.03,KANANASKIS,3053600,5.5,-12,-3.3,21.3,0,0,0,0,4,734172,0.778,NaN,7.77,1.34,9.42,0.367,12.5,55.1,16.5,NaN,1.88,0.445,63.2,0.18,NaN,55.3,57.1
-115.55,51.19,BANFF CS,3050519,2010-02-04,2.8,-10.8,-4,22,0,,,0,13,,<31,-115.03,51.03,KANANASKIS,3053600,6,-9,-1.5,19.5,0,0,0,0,4,734173,0.779,NaN,7.72,1.28,9.92,0.365,13.7,54.1,16.5,NaN,1.88,0.466,63.4,0.162,NaN,55.2,56.9
-115.55,51.19,BANFF CS,3050519,2010-02-05,1.3,-14.1,-6.4,24.4,0,,,0,13,,<31,-115.03,51.03,KANANASKIS,3053600,2,-13,-5.5,23.5,0,0,0,0,4,734174,0.704,NaN,7.29,1.27,9.84,0.363,13,54.2,16.5,NaN,1.9,0.473,59.4,0.18,NaN,53.8,55.5
-115.55,51.19,BANFF CS,3050519,2010-02-06,3.2,-13.9,-5.4,23.4,0,,,0,13,,<31,-115.03,51.03,KANANASKIS,3053600,3,-12,-4.5,22.5,0,0,0,0,4,734175,0.77,NaN,7.57,1.26,6.51,0.363,8.65,43.5,9.11,NaN,1.91,0.467,57.2,0.187,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-02-07,1.8,-13.4,-5.8,23.8,0,,,0.4,13,,<31,-115.03,51.03,KANANASKIS,3053600,3,-13,-5,23,0,0,0,0,4,734176,0.772,NaN,7.33,1.25,6.46,0.364,8.87,35.8,5.44,NaN,1.9,0.455,55.5,0.192,NaN,51,52.8
-115.55,51.19,BANFF CS,3050519,2010-02-08,-1.1,-13,-7.1,25.1,0,,,0,13,21,32,-115.03,51.03,KANANASKIS,3053600,-0.5,-16,-8.3,26.3,0,0,0,0,4,734177,0.766,NaN,7.34,1.24,10.1,0.364,13.4,48.4,16.4,NaN,1.88,0.439,59.3,0.198,NaN,48.9,50.7
-115.55,51.19,BANFF CS,3050519,2010-02-09,-1.4,-11.5,-6.5,24.5,0,,,0,12,23,32,-115.03,51.03,KANANASKIS,3053600,4,-15,-5.5,23.5,0,0,0,0,4,734178,0.767,NaN,7.16,1.3,9.77,0.363,13.4,53.2,16.3,NaN,1.82,0.445,60.3,0.204,NaN,48.2,49.9
-115.55,51.19,BANFF CS,3050519,2010-02-10,-0.1,-13.4,-6.8,24.8,0,,,0.4,13,,<31,-115.03,51.03,KANANASKIS,3053600,4,-12,-4,22,0,0,0,0,4,734179,0.792,NaN,7.71,1.35,10.1,0.362,13.1,54.7,16.4,NaN,1.78,0.429,60.4,0.21,NaN,51,52.7
-115.55,51.19,BANFF CS,3050519,2010-02-11,2.6,-6.6,-2,20,0,,,0,13,23,33,-115.03,51.03,KANANASKIS,3053600,5.5,-9,-1.8,19.8,0,0,0,0,4,734180,0.806,NaN,7.65,1.4,10,0.363,13.1,54.6,16.3,NaN,1.79,0.422,60.1,0.207,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-02-12,4.5,-4.1,0.2,17.8,0,,,0,12,21,37,-115.03,51.03,KANANASKIS,3053600,9,-4,2.5,15.5,0,0,0,0,3,734181,0.806,NaN,7.62,1.45,9.87,0.362,13.4,54.8,16.5,NaN,1.81,0.418,60.7,0.2,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-02-13,5.3,-6.5,-0.6,18.6,0,,,0,12,,<31,-115.03,51.03,KANANASKIS,3053600,8.5,-2,3.3,14.7,0,0,0,0,3,734182,0.806,NaN,7.61,1.47,6.22,0.363,8.78,42.5,9.06,NaN,1.79,0.42,55.6,0.195,NaN,51,52.8
-115.55,51.19,BANFF CS,3050519,2010-02-14,6,-4.9,0.6,17.4,0,,,0,11,,<31,-115.03,51.03,KANANASKIS,3053600,7,-10,-1.5,19.5,0,0,0,0,2,734183,0.808,NaN,7.54,1.44,6.18,0.368,8.55,34.8,4.92,NaN,1.79,0.42,55.1,0.187,NaN,51,52.8
-115.55,51.19,BANFF CS,3050519,2010-02-15,3.7,-3.9,-0.1,18.1,0,,,0.5,10,,<31,-115.03,51.03,KANANASKIS,3053600,4.5,-1,1.8,16.2,0,0,0,0,2,734184,0.829,NaN,7.58,1.4,10.1,0.366,13.5,49,16.4,NaN,1.79,0.418,60.4,0.179,NaN,51.1,52.9
-115.55,51.19,BANFF CS,3050519,2010-02-16,4.2,-3.9,0.2,17.8,0,,,0,10,,<31,-115.03,51.03,KANANASKIS,3053600,6,-5.5,0.3,17.7,0,0,2,2,1,734185,0.801,NaN,7.48,1.38,10.2,0.364,14.2,54,16.5,NaN,1.79,0.439,61.1,0.168,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-02-17,2.4,-3,-0.3,18.3,0,,,1.1,9,,<31,-115.03,51.03,KANANASKIS,3053600,1.5,-3,-0.8,18.8,0,0,2,2,2,734186,0.837,NaN,7.54,1.36,10.3,0.362,14.2,55.3,16.6,NaN,1.76,0.455,61.2,0.173,NaN,52.7,54.5
-115.55,51.19,BANFF CS,3050519,2010-02-18,3.7,-9.7,-3,21,0,,,0,9,,<31,-115.03,51.03,KANANASKIS,3053600,5,-11,-3,21,0,0,0,0,4,734187,0.778,NaN,7.58,1.34,9.7,0.364,12.4,56.3,16.5,NaN,1.76,0.472,60.1,0.187,NaN,53.7,55.5
-115.55,51.19,BANFF CS,3050519,2010-02-19,2.8,-14.1,-5.7,23.7,0,,,0,9,,<31,-115.03,51.03,KANANASKIS,3053600,2,-12,-5,23,0,0,0,0,3,734188,0.8,NaN,7.19,1.32,9.91,0.363,12.7,52.4,16.4,NaN,1.75,0.496,58.5,0.19,NaN,54.4,56.2
-115.55,51.19,BANFF CS,3050519,2010-02-20,3.6,-13.1,-4.8,22.8,0,,,0.4,9,,<31,-115.03,51.03,KANANASKIS,3053600,2.5,-8,-2.8,20.8,0,0,0,0,2,734189,0.831,NaN,7.31,1.3,6.47,0.364,8.12,41.7,9.03,NaN,1.71,0.5,54.8,0.197,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-02-21,6.7,-15.9,-4.6,22.6,0,,,0.2,9,,<31,-115.03,51.03,KANANASKIS,3053600,7.5,-15,-3.8,21.8,0,0,0,0,2,734190,0.783,NaN,6.98,1.28,6.39,0.391,10.4,35.9,5.31,NaN,1.74,0.495,55.3,0.199,NaN,51,52.7
-115.55,51.19,BANFF CS,3050519,2010-02-22,7,-15.4,-4.2,22.2,0,,,0,9,23,32,-115.03,51.03,KANANASKIS,3053600,7.5,-12.5,-2.5,20.5,0,0,0,0,2,734191,0.798,NaN,7.16,1.32,9.72,0.396,13,48.7,16.4,NaN,1.71,0.483,60.3,0.22,NaN,51,52.8
-115.55,51.19,BANFF CS,3050519,2010-02-23,6,-7.1,-0.6,18.6,0,,,0,9,24,35,-115.03,51.03,KANANASKIS,3053600,10,-9.5,0.3,17.7,0,0,0,0,1,734192,0.819,NaN,7.16,1.34,9.84,0.375,13.5,52,16.4,NaN,1.74,0.469,60.9,0.237,NaN,51.1,52.8
-115.55,51.19,BANFF CS,3050519,2010-02-24,3.9,-4.2,-0.2,18.2,0,,,0,7,22,32,-115.03,51.03,KANANASKIS,3053600,6,-7,-0.5,18.5,0,0,0,0,0,734193,0.842,NaN,7.31,1.35,9.86,0.37,13.4,53.1,16.1,NaN,1.79,0.464,60.5,0.242,NaN,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-02-25,4.9,-3.5,0.7,17.3,0,,,0,7,23,37,-115.03,51.03,KANANASKIS,3053600,7.5,0.5,4,14,0,0,0,0,0,734194,0.877,NaN,7.38,1.34,10.4,0.372,12.8,53,16.3,NaN,1.81,0.475,61.1,0.227,NaN,52.3,54.1
-115.55,51.19,BANFF CS,3050519,2010-02-26,5.4,-5.5,-0.1,18.1,0,,,0,3,,<31,-115.03,51.03,KANANASKIS,3053600,7.5,-3.5,2,16,0,0,0,0,0,734195,0.867,NaN,7.22,1.28,10.1,0.365,13.4,52.9,16.3,NaN,1.8,0.486,60.4,0.221,NaN,52.4,54.1
-115.55,51.19,BANFF CS,3050519,2010-02-27,8.4,-2.1,3.2,14.8,0,,,0,4,,<31,-115.03,51.03,KANANASKIS,3053600,11,-2,4.5,13.5,0,0,0,0,0,734196,0.86,NaN,7.34,1.27,6.85,0.364,8.08,39.6,6.63,NaN,1.79,0.51,57.1,0.213,NaN,51,52.8
-115.55,51.19,BANFF CS,3050519,2010-02-28,8.7,-5,1.9,16.1,0,,,0,2,,<31,-115.03,51.03,KANANASKIS,3053600,10.5,-4.5,3,15,0,0,0,0,0,734197,0.853,NaN,7.32,1.25,6.71,0.365,8.42,37.8,5.38,NaN,1.79,0.522,54.6,0.211,NaN,55.2,57
-115.55,51.19,BANFF CS,3050519,2010-03-01,10.3,-4.6,2.9,15.1,0,,,0,,22,32,-115.03,51.03,KANANASKIS,3053600,13.5,-3.5,5,13,0,0,0,0,0,734198,0.838,NaN,7.3,1.25,9.73,0.367,10.1,45.4,16.3,NaN,1.78,0.53,59.2,0.212,53,50.8,52.6
-115.55,51.19,BANFF CS,3050519,2010-03-02,10.6,-2.8,3.9,14.1,0,,,0,1,23,35,-115.03,51.03,KANANASKIS,3053600,13,-2.5,5.3,12.7,0,0,0,0,0,734199,0.847,NaN,7.28,1.29,9.23,0.367,9.86,50.8,16.2,NaN,1.75,0.535,60,0.217,52.3,51,52.8
-115.55,51.19,BANFF CS,3050519,2010-03-03,8.1,-4.8,1.7,16.3,0,,,0,1,,<31,-115.03,51.03,KANANASKIS,3053600,10.5,-1,4.8,13.2,0,0,0,0,0,734200,0.885,NaN,7.33,1.27,9.19,0.367,10.1,49.6,16.3,NaN,1.84,0.539,58.8,0.221,51.2,52.3,54.1
-115.55,51.19,BANFF CS,3050519,2010-03-04,9.3,-5,2.2,15.8,0,,,0,1,,<31,-115.03,51.03,KANANASKIS,3053600,11,-5,3,15,0,0,0,0,0,734201,0.828,NaN,7.28,1.24,9.09,0.367,9.99,50.3,16.2,NaN,1.9,0.534,57.8,0.262,51.4,52.4,54.2
-115.55,51.19,BANFF CS,3050519,2010-03-05,8.4,-4.8,1.8,16.2,0,,,0,,19,33,-115.03,51.03,KANANASKIS,3053600,10.5,-7,1.8,16.2,0,0,0,0,0,734202,0.878,NaN,7.24,1.23,9.11,0.368,9.84,49.3,16.2,NaN,1.89,0.555,57.7,0.295,52.9,52.3,54.1
-115.55,51.19,BANFF CS,3050519,2010-03-06,10.3,-6.3,2,16,0,,,0,1,,<31,-115.03,51.03,KANANASKIS,3053600,13,-6,3.5,14.5,0,0,0,0,0,734203,0.797,NaN,7.12,1.21,5.31,0.365,8.4,38.9,5.19,NaN,1.89,0.553,54.9,0.281,49.8,52.3,54.1
-115.55,51.19,BANFF CS,3050519,2010-03-07,8.9,-6.5,1.2,16.8,0,,,0,,23,39,-115.03,51.03,KANANASKIS,3053600,11.5,-4,3.8,14.2,0,0,0,0,0,734204,0.812,NaN,7.05,1.21,5.27,0.37,11.6,37.5,9.01,NaN,1.87,0.55,55.6,0.294,50.5,50.8,52.6
-115.55,51.19,BANFF CS,3050519,2010-03-08,2.4,-5.1,-1.4,19.4,0,0,,12.7,,2,33,-115.03,51.03,KANANASKIS,3053600,6,-2,2,16,0,0,8.6,8.6,0,734205,0.83,NaN,7.06,1.22,9.11,0.365,9.76,46.3,16.3,NaN,1.88,0.537,57.6,0.292,52.2,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-03-09,,-6.7,,,,,,3.5,20,,<31,-115.03,51.03,KANANASKIS,3053600,0,-13,-6.5,24.5,0,0,0,0,7,734206,0.82,NaN,6.98,1.22,9.19,0.362,10.3,50.6,16.1,NaN,1.8,0.522,57.8,0.264,53.1,50.9,52.7
-115.55,51.19,BANFF CS,3050519,2010-03-10,1,-14.1,-6.6,24.6,0,,,0.6,14,22,32,-115.03,51.03,KANANASKIS,3053600,3.5,-13.5,-5,23,0,0,0,0,5,734207,0.803,NaN,6.55,1.24,9.04,0.372,9.35,48.1,16.2,NaN,1.79,0.544,57.3,0.241,52.1,50.8,52.6
-115.55,51.19,BANFF CS,3050519,2010-03-11,3.3,-6.3,-1.5,19.5,0,,,0,12,27,37,-115.03,51.03,KANANASKIS,3053600,6,-3,1.5,16.5,0,0,0,0,3,734208,0.79,NaN,6.69,1.25,9.12,0.366,10.3,49,16.1,NaN,1.67,0.545,57.3,0.268,52.1,49.6,51.4
-115.55,51.19,BANFF CS,3050519,2010-03-12,4.9,-2,1.5,16.5,0,,,1.1,9,,<31,-115.03,51.03,KANANASKIS,3053600,7,-0.5,3.3,14.7,0,0,0,0,0,734209,0.775,NaN,7.19,1.21,9.17,0.363,9.87,49.6,16.1,NaN,1.64,0.511,54.7,0.285,49.2,49.6,51.5
-115.55,51.19,BANFF CS,3050519,2010-03-13,4.5,-6.2,-0.9,18.9,0,,,0,8,22,35,-115.03,51.03,KANANASKIS,3053600,7,-3,2,16,0,0,0,0,0,734210,0.795,NaN,7.12,1.22,5.29,0.371,8.25,37.1,5.39,NaN,1.66,0.486,52.1,0.279,45.7,48.8,50.6
-115.55,51.19,BANFF CS,3050519,2010-03-14,5,-10.8,-2.9,20.9,0,,,0,8,24,35,-115.03,51.03,KANANASKIS,3053600,7,-6,0.5,17.5,0,0,0,0,0,734211,0.811,NaN,6.92,1.2,5.62,0.375,7.81,37.7,9.46,NaN,1.65,0.48,53.8,0.255,48.2,48.1,49.9
-115.55,51.19,BANFF CS,3050519,2010-03-15,9.8,-3.8,3,15,0,,,0,8,24,33,-115.03,51.03,KANANASKIS,3053600,13.5,-2,5.8,12.2,0,0,0,0,0,734212,0.834,NaN,7.04,1.21,8.21,0.365,9.64,46.1,16.1,NaN,1.62,0.477,56,0.294,49.6,48.2,50
-115.55,51.19,BANFF CS,3050519,2010-03-16,12.8,-2.6,5.1,12.9,0,,,0,5,22,39,-115.03,51.03,KANANASKIS,3053600,16,-1.5,7.3,10.7,0,0.6,1.2,1.8,0,734213,0.862,NaN,7.16,1.21,9.09,0.369,9.84,48,16,NaN,1.64,0.48,55.2,0.302,47.6,46.6,48.4
-115.55,51.19,BANFF CS,3050519,2010-03-17,9.1,-1.3,3.9,14.1,0,,,0.4,,21,44,-115.03,51.03,KANANASKIS,3053600,6.5,0,3.3,14.7,0,0,0,0,0,734214,0.915,NaN,7.25,1.22,8.39,0.375,9.12,49.3,16,NaN,1.65,0.485,53.8,0.311,48.9,46.7,48.5
-115.55,51.19,BANFF CS,3050519,2010-03-18,4.5,-3.9,0.3,17.7,0,,,0.2,,4,39,-115.03,51.03,KANANASKIS,3053600,3.5,-4,-0.3,18.3,0,0,3.2,3.2,0,734215,0.853,NaN,7.19,1.22,8.51,0.369,10.1,49.9,16.2,NaN,1.7,0.49,54,0.309,48.9,46.8,48.5
-115.55,51.19,BANFF CS,3050519,2010-03-19,4.9,-7,-1.1,19.1,0,,,0.2,,25,35,-115.03,51.03,KANANASKIS,3053600,5.5,-6.5,-0.5,18.5,0,0,0,0,3,734216,0.812,NaN,7.08,1.21,8.37,0.368,9.8,47.2,16.1,NaN,1.68,0.505,54,0.326,49.1,46.7,48.5
-115.55,51.19,BANFF CS,3050519,2010-03-20,10,-6.1,2,16,0,,,0,,23,41,-115.03,51.03,KANANASKIS,3053600,13.5,-2.5,5.5,12.5,0,0,0,0,0,734217,0.812,NaN,7.04,1.22,5.48,0.368,6.6,36.1,5.23,NaN,1.64,0.54,53.6,0.368,48.6,45.1,46.9
